Class: Reverse, Confidence: 0.96, Box: (230, 175, 23, 28), Color: Red
Class: 7, Confidence: 0.93, Box: (426, 171, 27, 21), Color: Green
Class: 3, Confidence: 0.97, Box: (329, 175, 27, 27), Color: Red
Class: Reverse, Confidence: 0.96, Box: (229, 174, 22, 27), Color: Red
Class: 7, Confidence: 0.94, Box: (428, 170, 24, 24), Color: Green
Class: 3, Confidence: 0.98, Box: (328, 173, 27, 28), Color: Red
Class: 7, Confidence: 0.95, Box: (425, 168, 27, 21), Color: Green
Class: Reverse, Confidence: 0.94, Box: (229, 171, 22, 27), Color: Red
Class: 3, Confidence: 0.98, Box: (327, 173, 26, 27), Color: Red
Class: Reverse, Confidence: 0.94, Box: (226, 171, 23, 27), Color: Red
Class: 7, Confidence: 0.93, Box: (423, 167, 28, 21), Color: Green
Class: 3, Confidence: 0.97, Box: (330, 171, 26, 28), Color: Red
Class: Reverse, Confidence: 0.95, Box: (231, 171, 22, 26), Color: Red
Class: 7, Confidence: 0.95, Box: (426, 167, 27, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (330, 170, 26, 29), Color: Red
Class: Reverse, Confidence: 0.95, Box: (230, 170, 23, 26), Color: Red
Class: 7, Confidence: 0.92, Box: (426, 166, 27, 21), Color: Green
Class: 3, Confidence: 0.99, Box: (329, 170, 27, 26), Color: Red
Class: Reverse, Confidence: 0.97, Box: (230, 167, 23, 27), Color: Red
Class: 7, Confidence: 0.96, Box: (426, 165, 28, 20), Color: Green
Class: 3, Confidence: 0.98, Box: (327, 165, 27, 26), Color: Red
Class: 7, Confidence: 0.96, Box: (425, 161, 28, 20), Color: Green
Class: Reverse, Confidence: 0.95, Box: (227, 162, 24, 27), Color: Red
Class: 3, Confidence: 0.98, Box: (327, 165, 27, 26), Color: Red
Class: 7, Confidence: 0.96, Box: (425, 161, 28, 20), Color: Green
Class: Reverse, Confidence: 0.95, Box: (227, 162, 24, 27), Color: Red
Class: 1, Confidence: 0.98, Box: (340, 142, 23, 30), Color: Red
Class: 1, Confidence: 0.98, Box: (328, 161, 23, 31), Color: Red
Class: 1, Confidence: 0.98, Box: (317, 161, 22, 29), Color: Red
Class: 1, Confidence: 0.98, Box: (314, 161, 21, 28), Color: Red
Class: 1, Confidence: 0.98, Box: (314, 158, 21, 29), Color: Red
Class: 1, Confidence: 0.99, Box: (310, 159, 22, 28), Color: Red
Class: 1, Confidence: 0.99, Box: (310, 160, 22, 28), Color: Red
Class: 1, Confidence: 0.97, Box: (309, 152, 22, 30), Color: Red
Class: 1, Confidence: 0.97, Box: (306, 155, 22, 32), Color: Red
Class: 1, Confidence: 0.99, Box: (301, 152, 23, 32), Color: Red
Class: 1, Confidence: 0.98, Box: (302, 148, 22, 31), Color: Red
Class: 1, Confidence: 0.99, Box: (304, 148, 23, 32), Color: Red
Class: 1, Confidence: 0.97, Box: (307, 148, 22, 32), Color: Red
Class: 1, Confidence: 0.97, Box: (307, 147, 23, 31), Color: Red
Class: 1, Confidence: 0.99, Box: (303, 147, 23, 32), Color: Red
Class: 1, Confidence: 0.99, Box: (303, 145, 23, 32), Color: Red
Class: 1, Confidence: 0.99, Box: (303, 146, 23, 32), Color: Red
Class: 1, Confidence: 0.98, Box: (305, 145, 22, 32), Color: Red
Class: 1, Confidence: 0.97, Box: (308, 138, 22, 31), Color: Red
Class: 1, Confidence: 0.98, Box: (308, 141, 22, 30), Color: Red
Class: 1, Confidence: 0.98, Box: (303, 138, 23, 32), Color: Red
Class: 1, Confidence: 0.98, Box: (303, 137, 23, 32), Color: Red
Class: 1, Confidence: 0.98, Box: (307, 137, 22, 31), Color: Red
Class: 1, Confidence: 0.99, Box: (308, 135, 22, 31), Color: Red
Class: 1, Confidence: 0.99, Box: (310, 134, 21, 30), Color: Red
Class: 1, Confidence: 0.98, Box: (310, 133, 21, 30), Color: Red
Class: 1, Confidence: 0.98, Box: (311, 132, 21, 31), Color: Red
